Geo point;GENRE;ESPECE;ADRESSE;IDBASE;TYPEEMPLACEMENT;DOMANIALITE;ARRONDISSEMENT;COMPLEMENTADRESSE;NUMERO;IDEMPLACEMENT;CIRCONFERENCE EN CM;HAUTEUR EN M;STADEDEVELOPPEMENT;PEPINIERE;VARIETE OU CULTIVAR;DATEPLANTATION;REMARQUABLE;OBJECTID;LIBELLEFRANCAIS
48.8557603076,2.35399346953;Ulmus;minor;PLACE SAINT GERVAIS;267663.0;Arbre;Alignement;PARIS 4E ARRDT;04-janv;;301001;190.0;16.0;A;Inconnue;;1700-01-01T01:02:49+00:53;1;200075;Orme
48.84758185,2.25327790355;Catalpa;speciosa;JARDIN DES SERRES D AUTEUIL / 1 AVENUE GORDON BENNETT;136448.0;Arbre;Jardin;PARIS 16E ARRDT;;;30003;200.0;3.0;M;Inconnue;''Pulverulenta'';1700-01-01T01:02:49+00:53;1;47503;Catalpa
48.8363411221,2.29020948574;Fagus;sylvatica;SQUARE DU CLOS FEUQUIERES;128373.0;Arbre;Jardin;PARIS 15E ARRDT;;;2;125.0;5.0;A;Inconnue;''Pendula'';1973-01-01T02:00:00+01:00;1;68265;HÃªtre
48.8787029872,2.30647417371;Acer;pseudoplatanus;PARC MONCEAU;305507.0;Arbre;Jardin;PARIS 8E ARRDT;08-janv;;00NO0144;450.0;28.0;M;Inconnue;;1700-01-01T01:02:49+00:53;1;73382;Erable
48.8727963278,2.2875405986;Corylus;colurna;JARDIN DE L AVENUE FOCH / 10 AVENUE FOCH;114779.0;Arbre;Jardin;PARIS 16E ARRDT;PELOUSE 15 - 27 Ã  29;;000105001 / 16-25;200.0;12.0;M;Inconnue;;1700-01-01T01:02:49+00:53;1;87916;Noisetier de Byzance
48.8650355075,2.40093175935;Aesculus;hippocastanum;SQUARE EDOUARD VAILLANT / 50 AVENUE GAMBETTA;121923.0;Arbre;Jardin;PARIS 20E ARRDT;20-avr;;102006;380.0;26.0;M;Inconnue;;1700-01-01T01:02:49+00:53;1;136059;Marronnier
48.8620845688,2.3985769149;Diospyros;lotus;CIMETIERE DU PERE LACHAISE / DIV 77;155788.0;Arbre;CIMETIERE;PARIS 20E ARRDT;20-janv;;D00000077016;111.0;12.0;A;Inconnue;;1700-01-01T01:02:49+00:53;1;141199;Plaqueminier
48.8642003629,2.26796037248;Fagus;sylvatica;STADE DE LA PORTE DE LA MUETTE / 60 BOULEVARD LANNES;201570.0;Arbre;DJS;PARIS 16E ARRDT;16-38;;470306001;320.0;15.0;M;Inconnue;;1700-01-01T01:02:49+00:53;1;172761;HÃªtre
48.8543846725,2.29863693912;Cedrus;libani;JARDIN DU CHAMP DE MARS;106913.0;Arbre;Jardin;PARIS 7E ARRDT;07-avr;;P0070796;295.0;20.0;M;Inconnue;''Glauca'';1700-01-01T01:02:49+00:53;1;173378;CÃ¨dre
48.8800797215,2.38570950523;Aesculus;hippocastanum;PARC DES BUTTES CHAUMONT;102027.0;Arbre;Jardin;PARIS 19E ARRDT;;;G0380001;330.0;22.0;M;Inconnue;;1700-01-01T01:02:49+00:53;1;216103;Marronnier
