Geo point;GENRE;ESPECE;ADRESSE;IDBASE;TYPEEMPLACEMENT;DOMANIALITE;ARRONDISSEMENT;COMPLEMENTADRESSE;NUMERO;IDEMPLACEMENT;CIRCONFERENCE EN CM;HAUTEUR EN M;STADEDEVELOPPEMENT;PEPINIERE;VARIETE OU CULTIVAR;DATEPLANTATION;REMARQUABLE;OBJECTID;LIBELLEFRANCAIS
48.8629082876,2.26157034611;Ginkgo;biloba;BERGE DU LAC INFERIEUR - CHEMIN DE CEINTURE DU LAC INFERIEUR;2002391.0;Arbre;Jardin;BOIS DE BOULOGNE;16-janv;;101002;210.0;17.0;M;Inconnue;;1893-01-01T01:02:49+00:53;1;28919;Arbre aux quarante Ã©cus
48.8277560491,2.35926764063;Cedrus;libani;SQUARE DE CHOISY;106181.0;Arbre;Jardin;PARIS 13E ARRDT;13-mars;;357;351.0;25.0;M;Inconnue;;1700-01-01T01:02:49+00:53;1;120631;CÃ¨dre
48.8183891866,2.43791851368;Quercus;ilex;PENTE DE GRAVELLE - AVENUE DE GRAVELLE / ROUTE NOUVELLE;2002385.0;Arbre;Jardin;BOIS DE VINCENNES;déc-15;;déc-15;245.0;20.0;M;Inconnue;;1860-01-01T01:02:49+00:53;1;129578;ChÃªne
48.8823220504,2.38408821582;Ginkgo;biloba;PARC DES BUTTES CHAUMONT;102053.0;Arbre;Jardin;PARIS 19E ARRDT;;;G0310005;270.0;24.0;A;Inconnue;;1700-01-01T01:02:49+00:53;1;220207;Arbre aux quarante Ã©cus
48.8477822447,2.25372288858;Betula;nigra;JARDIN DES SERRES D AUTEUIL / 1 AVENUE GORDON BENNETT;136460.0;Arbre;Jardin;PARIS 16E ARRDT;;;30015;212.0;20.0;M;Inconnue;;1982-01-01T02:00:00+01:00;1;54495;Bouleau
48.863392803,2.39684653818;Ginkgo;biloba;CIMETIERE DU PERE LACHAISE / DIV 84;158457.0;Arbre;CIMETIERE;PARIS 20E ARRDT;20-déc;;D00000084016;165.0;20.0;A;Inconnue;;1700-01-01T01:02:49+00:53;1;91726;Arbre aux quarante Ã©cus
48.8830293243,2.37006279721;Tilia;tomentosa;PLACE DE LA BATAILLE DE STALINGRAD;235972.0;Arbre;Alignement;PARIS 19E ARRDT;19-mai;;103001;206.0;20.0;M;Inconnue;;1945-01-01T02:00:00+01:00;1;125124;Tilleul
48.8785828156,2.30755979417;Platanus;orientalis;PARC MONCEAU;313940.0;Arbre;Jardin;PARIS 8E ARRDT;08-févr;;00SO0222;645.0;31.0;M;Inconnue;;1700-01-01T01:02:49+00:53;1;159605;Platane
48.8492902734,2.35621122947;Platanus;x hispanica;QUAI SAINT BERNARD;298210.0;Arbre;Alignement;PARIS 5E ARRDT;Jussieux;;301059;375.0;25.0;M;Inconnue;;1900-01-01T01:09:21+01:00;1;182063;Platane
48.8682621216,2.29353225481;Platanus;x hispanica;SQUARE THOMAS JEFFERSSON;126662.0;Arbre;Jardin;PARIS 16E ARRDT;;;12;108.0;13.0;A;Inconnue;;1700-01-01T01:02:49+00:53;1;189644;Platane
48.8409420689,2.4641321139;Acer;cappadocicum;PELOUSE DE FONTENAY - AVENUE DE LA BELLE GABRIELLE;2002378.0;Arbre;Jardin;BOIS DE VINCENNES;déc-23;;déc-23;294.0;18.0;M;Inconnue;;1900-01-01T01:09:21+01:00;1;202977;Erable
48.8652460255,2.31335093065;Platanus;x hispanica;JARDINS DES CHAMPS ELYSEES / GRAND PALAIS;302598.0;Arbre;Jardin;PARIS 8E ARRDT;08-juin;;601002;553.0;29.0;M;Inconnue;;1700-01-01T01:02:49+00:53;1;217386;Platane
48.8630096006,2.2417737512;Pinus;nigra subsp. laricio;RESERVOIR DE LA GRANDE CASCADE - CARREFOUR DE LONGCHAMP;2002349.0;Arbre;Jardin;BOIS DE BOULOGNE;16-août;;901001;241.0;30.0;M;Inconnue;;1882-01-01T01:02:49+00:53;1;55766;Pin
48.8872385242,2.31716310443;Pterocarya;fraxinifolia;SQUARE DES BATIGNOLLES;135262.0;Arbre;Jardin;PARIS 17E ARRDT;17-juil;;72;395.0;30.0;M;Inconnue;;1700-01-01T01:02:49+00:53;1;57224;Pterocarya
48.8856757452,2.34472507365;Maclura;pomifera;SQUARE LOUISE MICHEL;120530.0;Arbre;Jardin;PARIS 18E ARRDT;18-nov;;141;209.0;18.0;M;Inconnue;;1700-01-01T01:02:49+00:53;1;65258;Oranger des Osages
48.8233452352,2.33968342685;Fagus;sylvatica;PARC MONTSOURIS / 28 BOULEVARD JOURDAN;110444.0;Arbre;Jardin;PARIS 14E ARRDT;Lac et Berges;;41501007;140.0;5.0;A;Inconnue;''Tortuosa'';1700-01-01T01:02:49+00:53;1;76706;HÃªtre
48.8770427283,2.38050012851;Taxus;baccata;PARC DES BUTTES CHAUMONT;103916.0;Arbre;Jardin;PARIS 19E ARRDT;;;O1020001;140.0;13.0;M;Inconnue;;1700-01-01T01:02:49+00:53;1;84689;If
48.8661272117,2.26254793084;Platanus;orientalis;ILE DU LAC INFERIEUR;2002398.0;Arbre;Jardin;BOIS DE BOULOGNE;16-avr;;401001;380.0;26.0;M;Inconnue;;1859-01-01T01:02:49+00:53;1;108952;Platane
48.857837941,2.29331862801;Platanus;x hispanica;JARDIN DU CHAMP DE MARS / C01;108095.0;Arbre;Jardin;PARIS 7E ARRDT;07-août;;P00206011;695.0;27.0;M;Inconnue;;1700-01-01T01:02:49+00:53;1;3393;Platane
48.8472736385,2.25198968756;Magnolia;grandiflora;JARDIN DES SERRES D AUTEUIL / 1 AVENUE GORDON BENNETT;136305.0;Arbre;Jardin;PARIS 16E ARRDT;;;40021;187.0;10.0;M;Inconnue;;1700-01-01T01:02:49+00:53;1;25442;Magnolia
48.8873178299,2.31706267506;Diospyros;lotus;SQUARE DES BATIGNOLLES;135415.0;Arbre;Jardin;PARIS 17E ARRDT;17-déc;;224;155.0;13.0;A;Inconnue;;1700-01-01T01:02:49+00:53;1;152815;Plaqueminier
48.8213206283,2.45536669589;Pinus;bungeana;ARBORETUM DE L ECOLE DU BREUIL - ROUTE DE LA FERME / ROUTE DE LA PYRAMIDE;2002380.0;Arbre;Jardin;BOIS DE VINCENNES;déc-19;;déc-19;78.0;16.0;A;Inconnue;;2000-01-01T02:00:00+01:00;1;186842;Pin
48.8465006206,2.25226717382;Liriodendron;tulipifera;JARDIN DES SERRES D AUTEUIL / 1 AVENUE GORDON BENNETT;136321.0;Arbre;Jardin;PARIS 16E ARRDT;;;40037;207.0;23.0;A;Inconnue;;1700-01-01T01:02:49+00:53;1;202879;Tulipier
48.863856986,2.39663716021;Ginkgo;biloba;CIMETIERE DU PERE LACHAISE / DIV 78;158456.0;Arbre;CIMETIERE;PARIS 20E ARRDT;20-13;;D00000078003;175.0;15.0;A;Inconnue;;1700-01-01T01:02:49+00:53;1;68977;Arbre aux quarante Ã©cus
48.8692243438,2.24601704099;Platanus;x hispanica;PARC DE BAGATELLE - ALLEE DE LONGCHAMP / ROUTE DE SEVRES A NEUILLY;2002346.0;Arbre;Jardin;BOIS DE BOULOGNE;16-19;;701005;500.0;40.0;M;Inconnue;;1847-01-01T01:02:49+00:53;1;82120;Platane
48.8732484628,2.24887874572;Davidia;involucrata;PARC DE BAGATELLE - ALLEE DE LONGCHAMP / ROUTE DE SEVRES A NEUILLY;2002355.0;Arbre;Jardin;BOIS DE BOULOGNE;16-20;;701006;120.0;15.0;A;Inconnue;;1906-01-01T01:09:21+01:00;1;111457;Arbre aux mouchoirs
