Timer,ID,Station,Code Station,Carte de crédit,Etat de la station,Nb bornes disponibles,Nombres de bornes en station,Nombre vélo en PARK+,Nb vélo mécanique,Nb vélo électrique,Etat kiosque,Overflowactivation,geo
2020-02-08 12:44:01,95562da757708b34234c51413e546c9c5354c074,Grenelle - Dr Finlay,15028,yes,Operative,60,71,0,7,4,yes,no,"[48.851315406715976, 2.2919502854347233]"
2020-02-08 12:44:01,0ab515b5510d4aff8e4acbbddc9547d2609988a0,Chazelles - Courcelles,17025,yes,Operative,0,0,0,0,2,yes,no,"[48.879406604954, 2.3034455627202988]"
2020-02-08 12:44:01,9c277cb4ff985f27e56f64fa64d1ec52a8ce88d9,Croulebarde - Corvisart,13101,yes,Operative,24,34,0,9,1,yes,no,"[48.830981659316855, 2.3481646925210953]"
2020-02-08 12:44:01,2b520dc01d1ffd8e7dee96c29d40c29fdee9ee3a,Ramponeau - Belleville,20143,yes,Operative,34,44,0,4,6,yes,no,"[48.871031137596006, 2.3790568521139748]"
2020-02-08 12:44:01,51953667a0b4e8c97204a65bde7b8c80ef3b7f79,Le Brix et Mesmin - Jourdan,14108,no,Operative,18,21,0,3,0,yes,no,"[48.82234096593411, 2.327861653302471]"
2020-02-08 12:44:01,5b1115fb44a0739cdb6b755efcf7cafc93ef474d,Romainville - Vaillant-Couturier,31024,no,Operative,36,38,0,1,1,yes,no,"[48.86785, 2.446748]"
2020-02-08 12:44:01,ce3146bbc79c69f9ca71c1f3d546e8295a5c66f1,Liberté - Vert-de-Maisons,47007,yes,Operative,1,20,0,12,7,yes,no,"[48.79014780960843, 2.43286281824112]"
2020-02-08 12:44:01,3c6b338d1c241bd4101c76c6e53b9203d4c86934,Porte de Saint-Ouen - Bessières,17044,no,Operative,33,42,0,4,4,yes,no,"[48.89792240854517, 2.32851451022192]"
2020-02-08 12:44:01,362da27883364508602a2617df33fa79fd83cd0f,Pierre et Marie Curie - Julien Grimau,31702,no,Operative,9,18,0,0,9,yes,no,"[48.870556555240725, 2.424167096614838]"
2020-02-08 12:44:01,564fdd4314eda15848a51f5ee41879b1627acc93,Bir Hakeim,15026,no,Operative,11,33,0,17,5,yes,no,"[48.853844054333514, 2.289705348222022]"
2020-02-08 12:44:01,94f59f8e18a6351238bc34b92b477a76401d3f32,Jules Guesde - Pont du Port à l'Anglais,44017,yes,Operative,21,30,0,6,3,yes,no,"[48.79628807093802, 2.417212128639221]"
2020-02-08 12:44:01,b722e3fc657151a8722e5487f4c0360ff72264f0,Cambrai - Benjamin Constant,19033,no,Operative,0,0,0,2,3,yes,no,"[48.89594736851349, 2.381133802246315]"
2020-02-08 12:44:01,1fa6d835d81803044c11dda29e92cbd6b8d860c4,De Toqueville - Terrasse,17048,yes,Operative,0,0,0,4,4,yes,no,"[48.882428, 2.314002]"
2020-02-08 12:44:01,193afc62ef9ce2d70fa5747ab30194939a243755,Michel-Ange - Parent de Rosan,16118,no,Operative,10,26,0,10,6,yes,no,"[48.840579923690115, 2.2584119439125065]"
2020-02-08 12:44:01,2b4630bd3c2905610d35965cef9456fcb4a7f3b0,Lagny - Victor Basch,43002,yes,Operative,21,26,0,1,4,yes,no,"[48.84884147189881, 2.426325418925233]"
2020-02-08 12:44:01,a1cfd737dcf4fc4261c8c2c572568fbdb9b3abd4,Louis Lejeune - Barbès,21216,no,Operative,23,25,0,0,2,yes,no,"[48.81807418981508, 2.3267009854316716]"
2020-02-08 12:44:01,d44a6788e0e278ffb430eb616a923e8584c8bfbb,Général Martial Valin - Pont du Garigliano,15068,no,Operative,8,16,0,4,4,yes,no,"[48.83823094269141, 2.270506024360657]"
2020-02-08 12:44:01,0dc53bc6fd2bf7e86350e45b39f7bc387754fa86,Rond-point du Dr Albert Schweitzer,22207,no,Operative,22,22,0,0,0,yes,no,"[48.78980918988166, 2.3143940046429634]"
